omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.375,0.125,13,20,1.5,17,200,0.88,0.20000364184379577
0.375,0.125,13,23,1.75,17,200,0.94,0.3608600080013275
0.375,0.125,13,26,2.0,17,200,0.975,0.5494906902313232
0.375,0.125,13,30,2.25,17,200,0.945,0.8347543692588806
0.375,0.125,13,33,2.5,17,200,0.92,1.0195209503173828
0.375,0.125,13,36,2.75,17,200,0.97,1.2173414170742034
0.375,0.125,13,39,3.0,17,200,0.97,1.4543249344825744
0.375,0.125,14,14,1.0,17,200,0.14,0.007542904615402222
0.375,0.125,14,18,1.25,17,200,0.595,0.10940401196479797
0.375,0.125,14,21,1.5,17,200,0.78,0.24658350229263307
0.375,0.125,14,25,1.75,17,200,0.875,0.5068465912342072
0.375,0.125,14,28,2.0,17,200,0.92,0.7489373326301575
0.375,0.125,14,32,2.25,17,200,0.96,1.0367547738552094
0.375,0.125,14,35,2.5,17,200,0.935,1.2745748937129975
0.375,0.125,14,39,2.75,17,200,0.92,1.6030583882331848
0.375,0.125,14,42,3.0,17,200,0.895,3.943404368162155
0.375,0.125,15,15,1.0,17,200,0.175,0.019229702949523926
0.375,0.125,15,19,1.25,17,200,0.52,0.34201871275901796
0.375,0.125,15,23,1.5,17,200,0.79,1.0666590929031372
0.375,0.125,15,27,1.75,17,200,0.89,0.7584709227085114
0.375,0.125,15,30,2.0,17,200,0.9,1.0405201423168182
0.375,0.125,15,34,2.25,17,200,0.9,1.3970187664031983
0.375,0.125,15,38,2.5,17,200,0.89,1.7619037294387818
0.375,0.125,15,42,2.75,17,200,0.88,2.114903812408447
0.375,0.125,15,45,3.0,17,200,0.88,2.420437304973602
0.375,0.125,16,16,1.0,17,200,0.09,0.03057162284851074
0.375,0.125,16,20,1.25,17,200,0.415,0.3121872389316559
0.375,0.125,16,24,1.5,17,200,0.695,0.6860626554489135
0.375,0.125,16,28,1.75,17,200,0.8,1.1684489965438842
0.375,0.125,16,32,2.0,17,200,0.83,1.665625686645508
0.375,0.125,16,36,2.25,17,200,0.835,2.1852868592739103
0.375,0.125,16,40,2.5,17,200,0.855,2.685576955080032
0.375,0.125,16,44,2.75,17,200,0.835,3.2919026112556455
0.375,0.125,16,48,3.0,17,200,0.855,3.84511279463768
0.375,0.25,4,4,1.0,17,200,0.27,0.00035013556480407716
0.375,0.25,4,5,1.25,17,200,0.575,0.0009832024574279786
0.375,0.25,4,6,1.5,17,200,0.865,0.0020359861850738526
0.375,0.25,4,7,1.75,17,200,0.97,0.003775357007980347
0.375,0.25,4,8,2.0,17,200,0.99,0.006408789157867432
0.375,0.25,4,9,2.25,17,200,1.0,0.00998075246810913
0.375,0.25,4,10,2.5,17,200,1.0,0.015330675840377807
0.375,0.25,4,11,2.75,17,200,1.0,0.02110528826713562
0.375,0.25,4,12,3.0,17,200,1.0,0.029691919088363647
0.375,0.25,5,5,1.0,17,200,0.23,0.0005111300945281983
0.375,0.25,5,7,1.25,17,200,0.755,0.003364541530609131
0.375,0.25,5,8,1.5,17,200,0.895,0.00602877140045166
0.375,0.25,5,9,1.75,17,200,0.985,0.009878849983215332
0.375,0.25,5,10,2.0,17,200,0.995,0.015255223512649536
0.375,0.25,5,12,2.25,17,200,1.0,0.03139559745788574
0.375,0.25,5,13,2.5,17,200,1.0,0.04151597499847412
0.375,0.25,5,14,2.75,17,200,1.0,0.05289035201072693
0.375,0.25,5,15,3.0,17,200,1.0,0.06685028553009033
0.375,0.25,6,6,1.0,17,200,0.15,0.0007319259643554688
0.375,0.25,6,8,1.25,17,200,0.615,0.00510739803314209
0.375,0.25,6,9,1.5,17,200,0.875,0.008956302404403687
0.375,0.25,6,11,1.75,17,200,0.985,0.02184201717376709
0.375,0.25,6,12,2.0,17,200,1.0,0.031950291395187375
0.375,0.25,6,14,2.25,17,200,0.995,0.056521836519241336
0.375,0.25,6,15,2.5,17,200,1.0,0.07250732421875
0.375,0.25,6,17,2.75,17,200,1.0,0.11081905961036682
0.375,0.25,6,18,3.0,17,200,1.0,0.13188259720802306
0.375,0.25,7,7,1.0,17,200,0.165,0.0010142302513122558
0.375,0.25,7,9,1.25,17,200,0.55,0.007676247358322143
0.375,0.25,7,11,1.5,17,200,0.885,0.02039350390434265
