omega,tau,n,m,c_ratio,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,s_hat_babai,babai_secret_success,elapsed_sec
0.5,0.25,3,4,1.2,17,0,"[0, 1, -1]","[0, 1, 16]","[0, 1, 0, -1]","[2, 5, -2, -4]","[0, 1, 16]",True,0.008801937103271484
0.5,0.25,3,4,1.2,17,1,"[1, 0, -1]","[1, 0, 16]","[0, -1, 0, 0]","[-4, -3, -8, -2]","[1, 0, 16]",True,0.0014607906341552734
0.5,0.25,3,4,1.2,17,2,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[-7, -2, 6, -3]","[1, 16, 0]",True,0.00167083740234375
0.5,0.25,3,4,1.2,17,3,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[-2, 7, -8, -2]","[0, 1, 16]",True,0.0012497901916503906
0.5,0.25,3,4,1.2,17,4,"[0, -1, 1]","[0, 16, 1]","[0, 0, 1, 0]","[-2, 1, 6, 2]","[0, 16, 1]",True,0.0013108253479003906
0.5,0.25,3,4,1.2,17,5,"[0, -1, 1]","[0, 16, 1]","[-1, 1, 0, 0]","[3, 3, -5, 2]","[10, 14, 8]",False,0.0015079975128173828
0.5,0.25,3,4,1.2,17,6,"[1, 0, -1]","[1, 0, 16]","[0, -1, -1, 0]","[-1, -1, 4, 6]","[1, 0, 16]",True,0.0016639232635498047
0.5,0.25,3,4,1.2,17,7,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[6, 6, -6, 1]","[1, 16, 0]",True,0.0014150142669677734
0.5,0.25,3,4,1.2,17,8,"[0, 1, -1]","[0, 1, 16]","[-1, 0, 0, 0]","[2, -3, 3, -6]","[0, 1, 16]",True,0.0021381378173828125
0.5,0.25,3,4,1.2,17,9,"[0, -1, 1]","[0, 16, 1]","[-1, 0, 0, -1]","[2, -8, -3, 0]","[0, 16, 1]",True,0.0007679462432861328
0.5,0.25,3,4,1.2,17,10,"[-1, 0, 1]","[16, 0, 1]","[0, 1, 0, 0]","[8, -5, 6, -6]","[8, 15, 1]",False,0.0008378028869628906
0.5,0.25,3,4,1.2,17,11,"[1, -1, 0]","[1, 16, 0]","[1, 0, 0, 0]","[0, -2, -5, -4]","[1, 16, 0]",True,0.0006849765777587891
0.5,0.25,3,4,1.2,17,12,"[0, -1, 1]","[0, 16, 1]","[1, 0, -1, 0]","[-4, 2, 6, -6]","[0, 11, 14]",False,0.0007159709930419922
0.5,0.25,3,4,1.2,17,13,"[0, -1, 1]","[0, 16, 1]","[1, 1, 0, 0]","[0, -4, -2, 3]","[12, 2, 1]",False,0.0005040168762207031
0.5,0.25,3,4,1.2,17,14,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, -1]","[-8, 5, 0, -1]","[16, 0, 1]",True,0.0006070137023925781
0.5,0.25,3,4,1.2,17,15,"[0, 1, -1]","[0, 1, 16]","[0, 1, 0, 0]","[0, -1, -7, -3]","[0, 1, 16]",True,0.0005819797515869141
0.5,0.25,3,4,1.2,17,16,"[-1, 0, 1]","[16, 0, 1]","[-1, 0, 0, 0]","[5, -6, -8, 7]","[16, 0, 1]",True,0.0005981922149658203
0.5,0.25,3,4,1.2,17,17,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[-4, -3, 6, 1]","[13, 9, 3]",False,0.0005321502685546875
0.5,0.25,3,4,1.2,17,18,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[4, -8, 2, 2]","[12, 10, 12]",False,0.0006341934204101562
0.5,0.25,3,4,1.2,17,19,"[0, 1, -1]","[0, 1, 16]","[0, 1, 1, 0]","[1, 4, -5, 6]","[3, 5, 12]",False,0.0005280971527099609
0.5,0.25,3,4,1.2,17,20,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[-6, 5, 0, 5]","[1, 0, 16]",True,0.0006227493286132812
0.5,0.25,3,4,1.2,17,21,"[-1, 1, 0]","[16, 1, 0]","[1, 0, 0, 0]","[-9, -3, -4, 0]","[16, 1, 0]",True,0.0006871223449707031
0.5,0.25,3,4,1.2,17,22,"[-1, 0, 1]","[16, 0, 1]","[-1, 0, 0, -1]","[-3, -2, -5, 8]","[5, 7, 7]",False,0.000978231430053711
0.5,0.25,3,4,1.2,17,23,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[-7, 8, 8, -3]","[1, 0, 16]",True,0.0006279945373535156
0.5,0.25,3,4,1.2,17,24,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[7, -4, -2, 0]","[0, 16, 1]",True,0.00060272216796875
0.5,0.25,3,4,1.2,17,25,"[-1, 0, 1]","[16, 0, 1]","[-1, 0, 0, 1]","[6, 3, -7, 3]","[16, 0, 1]",True,0.0005209445953369141
0.5,0.25,3,4,1.2,17,26,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[1, -5, 0, 1]","[0, 16, 1]",True,0.0005612373352050781
0.5,0.25,3,4,1.2,17,27,"[-1, 1, 0]","[16, 1, 0]","[0, 1, 0, 0]","[-7, -5, -5, 5]","[4, 14, 3]",False,0.0005350112915039062
0.5,0.25,3,4,1.2,17,28,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[-8, -2, 6, 5]","[16, 0, 1]",True,0.0005970001220703125
0.5,0.25,3,4,1.2,17,29,"[1, -1, 0]","[1, 16, 0]","[-1, 0, 0, 0]","[-2, 5, 7, 4]","[1, 16, 0]",True,0.0005729198455810547
0.5,0.25,3,4,1.2,17,30,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[-6, -6, -6, 1]","[16, 0, 1]",True,0.0005292892456054688
0.5,0.25,3,4,1.2,17,31,"[-1, 0, 1]","[16, 0, 1]","[1, 0, 0, 1]","[0, -7, 4, 7]","[7, 6, 0]",False,0.0005741119384765625
0.5,0.25,3,4,1.2,17,32,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 0]","[5, 1, -6, 7]","[0, 1, 16]",True,0.0005810260772705078
0.5,0.25,3,4,1.2,17,33,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, -1]","[1, -1, -5, -2]","[0, 1, 16]",True,0.0005040168762207031
0.5,0.25,3,4,1.2,17,34,"[1, 0, -1]","[1, 0, 16]","[0, 1, 1, 0]","[-1, -7, -1, -5]","[1, 0, 16]",True,0.0006487369537353516
0.5,0.25,3,4,1.2,17,35,"[1, -1, 0]","[1, 16, 0]","[0, 1, 0, 0]","[-4, -8, 5, -7]","[1, 16, 0]",True,0.0005710124969482422
0.5,0.25,3,4,1.2,17,36,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 0]","[-4, -8, 8, -1]","[0, 1, 16]",True,0.000579833984375
0.5,0.25,3,4,1.2,17,37,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[1, 2, 7, 5]","[3, 10, 14]",False,0.0005719661712646484
0.5,0.25,3,4,1.2,17,38,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, -1]","[-3, 6, 8, -2]","[0, 16, 1]",True,0.0006258487701416016
0.5,0.25,3,4,1.2,17,39,"[1, -1, 0]","[1, 16, 0]","[1, 0, 0, 0]","[-9, -4, 0, 3]","[1, 16, 0]",True,0.0005841255187988281
0.5,0.25,3,4,1.2,17,40,"[0, -1, 1]","[0, 16, 1]","[0, 0, -1, -1]","[5, -8, 6, -3]","[0, 16, 1]",True,0.0005669593811035156
0.5,0.25,3,4,1.2,17,41,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[-2, 7, 8, 3]","[0, 16, 1]",True,0.0005691051483154297
0.5,0.25,3,4,1.2,17,42,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 1]","[2, -7, 8, -8]","[0, 1, 16]",True,0.0005960464477539062
0.5,0.25,3,4,1.2,17,43,"[0, 1, -1]","[0, 1, 16]","[0, 0, 1, 1]","[5, -7, 8, -3]","[13, 3, 12]",False,0.0005362033843994141
0.5,0.25,3,4,1.2,17,44,"[1, 0, -1]","[1, 0, 16]","[0, 0, 1, 0]","[-2, -2, -8, 5]","[1, 0, 16]",True,0.00047588348388671875
0.5,0.25,3,4,1.2,17,45,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[3, 3, -4, 6]","[0, 16, 1]",True,0.0006008148193359375
0.5,0.25,3,4,1.2,17,46,"[0, -1, 1]","[0, 16, 1]","[0, 0, 1, 0]","[5, -5, -8, 5]","[0, 16, 1]",True,0.0008780956268310547
0.5,0.25,3,4,1.2,17,47,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[6, 5, 0, -7]","[1, 16, 0]",True,0.0006320476531982422
0.5,0.25,3,4,1.2,17,48,"[0, -1, 1]","[0, 16, 1]","[0, 0, -1, -1]","[1, -3, 4, -1]","[13, 9, 5]",False,0.0005950927734375
0.5,0.25,3,4,1.2,17,49,"[1, 0, -1]","[1, 0, 16]","[0, -1, 1, 0]","[2, 3, -6, -6]","[3, 8, 4]",False,0.0005691051483154297
0.5,0.25,3,4,1.2,17,50,"[1, -1, 0]","[1, 16, 0]","[0, 0, 1, 0]","[0, 0, 6, 0]","[8, 9, 0]",False,0.0005698204040527344
0.5,0.25,3,4,1.2,17,51,"[1, 0, -1]","[1, 0, 16]","[0, 0, 1, 0]","[8, 1, -8, -7]","[1, 0, 16]",True,0.0005698204040527344
0.5,0.25,3,4,1.2,17,52,"[0, -1, 1]","[0, 16, 1]","[0, 1, 1, 0]","[-6, 1, 5, -5]","[0, 16, 1]",True,0.00055694580078125
0.5,0.25,3,4,1.2,17,53,"[0, -1, 1]","[0, 16, 1]","[1, 0, 0, 0]","[-6, -8, 8, -8]","[0, 16, 1]",True,0.0005960464477539062
0.5,0.25,3,4,1.2,17,54,"[-1, 0, 1]","[16, 0, 1]","[1, 1, 0, 0]","[0, -7, -2, 6]","[16, 0, 1]",True,0.0005288124084472656
0.5,0.25,3,4,1.2,17,55,"[0, -1, 1]","[0, 16, 1]","[-1, 0, 0, 0]","[-3, 0, 7, 8]","[11, 6, 5]",False,0.0006380081176757812
0.5,0.25,3,4,1.2,17,56,"[1, -1, 0]","[1, 16, 0]","[0, 0, -1, 0]","[-6, 1, -2, 4]","[1, 16, 0]",True,0.0005221366882324219
0.5,0.25,3,4,1.2,17,57,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[7, -7, -7, -4]","[1, 16, 0]",True,0.0005838871002197266
0.5,0.25,3,4,1.2,17,58,"[1, 0, -1]","[1, 0, 16]","[0, 1, 0, 0]","[-1, -7, 0, -5]","[1, 0, 16]",True,0.0014500617980957031
0.5,0.25,3,4,1.2,17,59,"[-1, 1, 0]","[16, 1, 0]","[0, -1, 0, -1]","[2, -1, 1, 0]","[16, 1, 0]",True,0.001192331314086914
0.5,0.25,3,4,1.2,17,60,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, -1]","[4, 0, 0, -5]","[16, 0, 1]",True,0.000576019287109375
0.5,0.25,3,4,1.2,17,61,"[0, 1, -1]","[0, 1, 16]","[0, 0, -1, 0]","[-5, -6, -2, -1]","[0, 1, 16]",True,0.0005891323089599609
0.5,0.25,3,4,1.2,17,62,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, -1]","[-3, -1, -1, 2]","[1, 16, 0]",True,0.0004410743713378906
0.5,0.25,3,4,1.2,17,63,"[1, -1, 0]","[1, 16, 0]","[0, 1, 0, 0]","[-2, 1, 1, -8]","[1, 16, 0]",True,0.0004706382751464844
0.5,0.25,3,4,1.2,17,64,"[-1, 0, 1]","[16, 0, 1]","[0, -1, 0, 0]","[6, -8, -8, 5]","[6, 1, 8]",False,0.0006551742553710938
0.5,0.25,3,4,1.2,17,65,"[-1, 0, 1]","[16, 0, 1]","[0, -1, 0, -1]","[8, -4, 0, -7]","[11, 3, 2]",False,0.0006501674652099609
0.5,0.25,3,4,1.2,17,66,"[1, -1, 0]","[1, 16, 0]","[0, 1, 0, 0]","[1, 1, 2, -7]","[1, 16, 0]",True,0.0005781650543212891
0.5,0.25,3,4,1.2,17,67,"[1, -1, 0]","[1, 16, 0]","[-1, 1, 0, -1]","[4, -4, 4, -2]","[2, 10, 3]",False,0.0005490779876708984
0.5,0.25,3,4,1.2,17,68,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[1, -3, 0, -5]","[16, 0, 1]",True,0.0005459785461425781
0.5,0.25,3,4,1.2,17,69,"[0, 1, -1]","[0, 1, 16]","[-1, 0, 0, 0]","[-2, -1, -3, -2]","[0, 1, 16]",True,0.0006351470947265625
0.5,0.25,3,4,1.2,17,70,"[-1, 0, 1]","[16, 0, 1]","[0, 0, -1, 0]","[-5, -7, -3, -5]","[16, 0, 1]",True,0.0005488395690917969
0.5,0.25,3,4,1.2,17,71,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[-4, -4, 0, 0]","[0, 1, 16]",True,0.0005240440368652344
0.5,0.25,3,4,1.2,17,72,"[1, -1, 0]","[1, 16, 0]","[0, 1, 1, 0]","[2, -6, 0, 2]","[1, 16, 0]",True,0.0006289482116699219
0.5,0.25,3,4,1.2,17,73,"[-1, 0, 1]","[16, 0, 1]","[0, 0, -1, -1]","[-1, -1, -7, -4]","[16, 2, 1]",False,0.0006508827209472656
0.5,0.25,3,4,1.2,17,74,"[-1, 0, 1]","[16, 0, 1]","[1, 0, 0, 1]","[4, 2, 5, 0]","[11, 6, 0]",False,0.0013391971588134766
0.5,0.25,3,4,1.2,17,75,"[0, -1, 1]","[0, 16, 1]","[0, -1, 0, 0]","[0, -5, 1, 7]","[0, 16, 1]",True,0.001397848129272461
0.5,0.25,3,4,1.2,17,76,"[-1, 1, 0]","[16, 1, 0]","[0, 0, 0, -1]","[4, 7, -4, -1]","[16, 1, 0]",True,0.0006659030914306641
0.5,0.25,3,4,1.2,17,77,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[8, 5, -2, -1]","[1, 0, 16]",True,0.0005900859832763672
0.5,0.25,3,4,1.2,17,78,"[-1, 1, 0]","[16, 1, 0]","[0, 0, 0, 0]","[-5, 3, -6, 1]","[16, 1, 0]",True,0.0006511211395263672
0.5,0.25,3,4,1.2,17,79,"[1, -1, 0]","[1, 16, 0]","[-1, 0, 0, 0]","[3, 2, 5, 4]","[1, 16, 0]",True,0.0005261898040771484
0.5,0.25,3,4,1.2,17,80,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[3, 6, -3, 4]","[1, 16, 0]",True,0.0005428791046142578
0.5,0.25,3,4,1.2,17,81,"[-1, 1, 0]","[16, 1, 0]","[0, -1, 1, 0]","[7, 8, 5, 2]","[8, 1, 5]",False,0.00049591064453125
0.5,0.25,3,4,1.2,17,82,"[-1, 1, 0]","[16, 1, 0]","[1, 0, 0, 0]","[4, 1, 0, 8]","[16, 1, 0]",True,0.0005199909210205078
0.5,0.25,3,4,1.2,17,83,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[3, 7, 0, 1]","[1, 0, 16]",True,0.0005629062652587891
0.5,0.25,3,4,1.2,17,84,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[-1, 6, -6, -2]","[1, 16, 0]",True,0.0006520748138427734
0.5,0.25,3,4,1.2,17,85,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[3, -1, 7, -1]","[16, 0, 1]",True,0.0005688667297363281
0.5,0.25,3,4,1.2,17,86,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[-4, -8, 1, -7]","[1, 0, 16]",True,0.0005221366882324219
0.5,0.25,3,4,1.2,17,87,"[0, -1, 1]","[0, 16, 1]","[0, 0, 1, -1]","[8, -9, -1, 2]","[11, 0, 9]",False,0.0005209445953369141
0.5,0.25,3,4,1.2,17,88,"[-1, 1, 0]","[16, 1, 0]","[0, -1, 0, 0]","[-5, 0, -3, -2]","[16, 1, 0]",True,0.001352071762084961
0.5,0.25,3,4,1.2,17,89,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 1]","[7, -1, -7, 6]","[16, 0, 1]",True,0.0006337165832519531
0.5,0.25,3,4,1.2,17,90,"[1, 0, -1]","[1, 0, 16]","[0, -1, 0, 0]","[-7, 3, -3, -8]","[1, 0, 16]",True,0.0006380081176757812
0.5,0.25,3,4,1.2,17,91,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[8, -3, -8, -5]","[1, 16, 0]",True,0.0004868507385253906
0.5,0.25,3,4,1.2,17,92,"[-1, 0, 1]","[16, 0, 1]","[0, -1, 0, 0]","[-8, 4, 4, -3]","[16, 0, 1]",True,0.0008692741394042969
0.5,0.25,3,4,1.2,17,93,"[1, 0, -1]","[1, 0, 16]","[0, -1, 1, 1]","[5, 1, 7, -6]","[3, 11, 7]",False,0.0006949901580810547
0.5,0.25,3,4,1.2,17,94,"[0, -1, 1]","[0, 16, 1]","[0, 1, 0, 0]","[-5, 7, 1, 8]","[0, 16, 1]",True,0.0005347728729248047
0.5,0.25,3,4,1.2,17,95,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[7, -5, 1, -2]","[1, 0, 16]",True,0.0005459785461425781
0.5,0.25,3,4,1.2,17,96,"[1, 0, -1]","[1, 0, 16]","[1, 0, 0, 0]","[1, 3, 0, -2]","[1, 0, 16]",True,0.0010287761688232422
0.5,0.25,3,4,1.2,17,97,"[1, 0, -1]","[1, 0, 16]","[0, 0, 1, 0]","[1, -1, -3, 8]","[1, 0, 16]",True,0.0016739368438720703
0.5,0.25,3,4,1.2,17,98,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, -1]","[-8, -4, 3, -5]","[15, 4, 9]",False,0.0005621910095214844
0.5,0.25,3,4,1.2,17,99,"[1, -1, 0]","[1, 16, 0]","[0, 0, 1, 0]","[8, 6, 0, 5]","[1, 16, 0]",True,0.0006310939788818359
0.5,0.25,3,4,1.2,17,100,"[1, -1, 0]","[1, 16, 0]","[0, 0, 1, 0]","[-6, -2, -8, 5]","[1, 16, 0]",True,0.0005879402160644531
0.5,0.25,3,4,1.2,17,101,"[0, 1, -1]","[0, 1, 16]","[1, 0, 0, 0]","[5, 6, 0, 8]","[0, 1, 16]",True,0.0006518363952636719
0.5,0.25,3,4,1.2,17,102,"[-1, 0, 1]","[16, 0, 1]","[1, 0, -1, 0]","[3, 5, -5, -4]","[9, 11, 6]",False,0.000644683837890625
0.5,0.25,3,4,1.2,17,103,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[8, 0, 1, -4]","[1, 0, 16]",True,0.0006358623504638672
0.5,0.25,3,4,1.2,17,104,"[1, 0, -1]","[1, 0, 16]","[0, 0, -1, 0]","[6, 8, 8, -6]","[0, 16, 4]",False,0.0005078315734863281
0.5,0.25,3,4,1.2,17,105,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[6, 7, 0, -1]","[0, 16, 1]",True,0.0006308555603027344
0.5,0.25,3,4,1.2,17,106,"[1, 0, -1]","[1, 0, 16]","[0, -1, 0, -1]","[1, -3, -7, -4]","[0, 16, 0]",False,0.0006368160247802734
0.5,0.25,3,4,1.2,17,107,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[7, -5, -8, 1]","[1, 16, 0]",True,0.0004398822784423828
0.5,0.25,3,4,1.2,17,108,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[3, 8, -5, 7]","[1, 16, 0]",True,0.0005297660827636719
0.5,0.25,3,4,1.2,17,109,"[1, -1, 0]","[1, 16, 0]","[0, 1, 1, 0]","[0, -9, -2, -7]","[1, 16, 0]",True,0.0007150173187255859
0.5,0.25,3,4,1.2,17,110,"[1, -1, 0]","[1, 16, 0]","[-1, 0, 0, 0]","[-6, 5, 3, 0]","[8, 0, 5]",False,0.0005509853363037109
0.5,0.25,3,4,1.2,17,111,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[-4, -6, -8, -5]","[1, 0, 16]",True,0.0005478858947753906
0.5,0.25,3,4,1.2,17,112,"[0, 1, -1]","[0, 1, 16]","[0, 0, -1, 0]","[5, -2, 9, -7]","[0, 1, 16]",True,0.0005059242248535156
0.5,0.25,3,4,1.2,17,113,"[0, 1, -1]","[0, 1, 16]","[-1, 0, 0, 0]","[6, -6, -3, 1]","[0, 1, 16]",True,0.0006198883056640625
0.5,0.25,3,4,1.2,17,114,"[0, -1, 1]","[0, 16, 1]","[1, -1, 0, -1]","[4, 5, 2, 3]","[13, 8, 8]",False,0.0013399124145507812
0.5,0.25,3,4,1.2,17,115,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[-7, 5, 4, 2]","[0, 16, 1]",True,0.0013229846954345703
0.5,0.25,3,4,1.2,17,116,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[4, 2, 8, 2]","[16, 0, 1]",True,0.0005199909210205078
0.5,0.25,3,4,1.2,17,117,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 0]","[-7, -8, -4, -4]","[0, 1, 16]",True,0.0005147457122802734
0.5,0.25,3,4,1.2,17,118,"[0, -1, 1]","[0, 16, 1]","[0, 1, -1, 0]","[-4, -2, 8, 0]","[0, 3, 7]",False,0.000576019287109375
0.5,0.25,3,4,1.2,17,119,"[0, 1, -1]","[0, 1, 16]","[0, 1, 0, 1]","[6, -2, -3, 4]","[0, 1, 16]",True,0.0005629062652587891
0.5,0.25,3,4,1.2,17,120,"[-1, 1, 0]","[16, 1, 0]","[1, 0, -1, 0]","[-8, -8, 9, -3]","[16, 1, 0]",True,0.0006241798400878906
0.5,0.25,3,4,1.2,17,121,"[-1, 1, 0]","[16, 1, 0]","[0, -1, 0, 0]","[6, -5, -7, 4]","[16, 1, 0]",True,0.0006411075592041016
0.5,0.25,3,4,1.2,17,122,"[-1, 0, 1]","[16, 0, 1]","[1, 1, -1, 0]","[6, 4, 0, -5]","[2, 15, 3]",False,0.0005230903625488281
0.5,0.25,3,4,1.2,17,123,"[-1, 0, 1]","[16, 0, 1]","[0, 1, 0, 0]","[-7, 3, 1, -6]","[16, 0, 1]",True,0.0006468296051025391
0.5,0.25,3,4,1.2,17,124,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[0, 3, -5, 4]","[16, 0, 1]",True,0.0006139278411865234
0.5,0.25,3,4,1.2,17,125,"[1, 0, -1]","[1, 0, 16]","[0, -1, 0, 0]","[6, 1, 2, 5]","[3, 14, 10]",False,0.0006289482116699219
0.5,0.25,3,4,1.2,17,126,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, -1]","[-1, -7, -1, 0]","[0, 1, 16]",True,0.0005729198455810547
0.5,0.25,3,4,1.2,17,127,"[0, -1, 1]","[0, 16, 1]","[0, -1, 1, 0]","[-8, -3, -3, 3]","[0, 8, 12]",False,0.0005939006805419922
0.5,0.25,3,4,1.2,17,128,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[0, -1, 6, 8]","[16, 0, 1]",True,0.0006210803985595703
0.5,0.25,3,4,1.2,17,129,"[1, 0, -1]","[1, 0, 16]","[1, 0, 0, 1]","[6, 5, 8, 0]","[1, 0, 16]",True,0.0005640983581542969
0.5,0.25,3,4,1.2,17,130,"[1, -1, 0]","[1, 16, 0]","[0, -1, 0, 0]","[5, 4, 2, -4]","[8, 12, 2]",False,0.0006260871887207031
0.5,0.25,3,4,1.2,17,131,"[-1, 0, 1]","[16, 0, 1]","[0, 1, 0, 0]","[-2, -1, 8, -2]","[16, 0, 1]",True,0.0005741119384765625
0.5,0.25,3,4,1.2,17,132,"[0, -1, 1]","[0, 16, 1]","[1, 0, 1, 1]","[1, -8, 5, -7]","[16, 0, 16]",False,0.0006639957427978516
0.5,0.25,3,4,1.2,17,133,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[1, 2, 3, -2]","[0, 16, 1]",True,0.0005860328674316406
0.5,0.25,3,4,1.2,17,134,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[-7, 1, 7, 8]","[16, 0, 1]",True,0.0014870166778564453
0.5,0.25,3,4,1.2,17,135,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 0]","[-5, 6, -4, 6]","[0, 1, 16]",True,0.0015392303466796875
0.5,0.25,3,4,1.2,17,136,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[-6, 0, -4, -6]","[16, 0, 1]",True,0.0005772113800048828
0.5,0.25,3,4,1.2,17,137,"[1, -1, 0]","[1, 16, 0]","[-1, 0, 0, 0]","[-7, 6, -7, 2]","[12, 0, 11]",False,0.0005719661712646484
0.5,0.25,3,4,1.2,17,138,"[1, -1, 0]","[1, 16, 0]","[-1, 0, 0, 0]","[1, 7, -5, -6]","[1, 16, 0]",True,0.0006949901580810547
0.5,0.25,3,4,1.2,17,139,"[1, 0, -1]","[1, 0, 16]","[0, 0, -1, 0]","[-6, 7, 8, -2]","[11, 9, 11]",False,0.0005180835723876953
0.5,0.25,3,4,1.2,17,140,"[0, 1, -1]","[0, 1, 16]","[0, 1, -1, 0]","[0, 4, -3, -3]","[0, 1, 16]",True,0.0005729198455810547
0.5,0.25,3,4,1.2,17,141,"[-1, 1, 0]","[16, 1, 0]","[0, 0, 0, 0]","[6, -2, -7, 5]","[16, 1, 0]",True,0.0005650520324707031
0.5,0.25,3,4,1.2,17,142,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[8, -7, 8, 2]","[16, 0, 1]",True,0.0006079673767089844
0.5,0.25,3,4,1.2,17,143,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[8, -2, 1, -6]","[1, 16, 0]",True,0.0005657672882080078
0.5,0.25,3,4,1.2,17,144,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[-8, 6, 7, 1]","[0, 16, 1]",True,0.00057220458984375
0.5,0.25,3,4,1.2,17,145,"[-1, 0, 1]","[16, 0, 1]","[0, 1, 0, 0]","[-7, -7, 1, -3]","[16, 0, 1]",True,0.0006201267242431641
0.5,0.25,3,4,1.2,17,146,"[1, -1, 0]","[1, 16, 0]","[-1, -1, 1, 0]","[1, 6, 4, -8]","[16, 14, 11]",False,0.0005970001220703125
0.5,0.25,3,4,1.2,17,147,"[-1, 0, 1]","[16, 0, 1]","[0, -1, 0, -1]","[7, -3, 8, 8]","[16, 0, 1]",True,0.0005948543548583984
0.5,0.25,3,4,1.2,17,148,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 1]","[-6, -3, 6, 7]","[1, 0, 16]",True,0.0004951953887939453
0.5,0.25,3,4,1.2,17,149,"[-1, 1, 0]","[16, 1, 0]","[0, 0, 0, 0]","[-4, 6, -2, 2]","[16, 1, 0]",True,0.0005908012390136719
0.5,0.25,3,4,1.2,17,150,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 0]","[8, 7, -7, -8]","[0, 1, 16]",True,0.0006091594696044922
0.5,0.25,3,4,1.2,17,151,"[1, 0, -1]","[1, 0, 16]","[0, 0, -1, 1]","[-3, -6, -6, 1]","[14, 0, 1]",False,0.000614166259765625
0.5,0.25,3,4,1.2,17,152,"[0, 1, -1]","[0, 1, 16]","[0, 0, 1, 0]","[-3, -1, -4, 3]","[0, 1, 16]",True,0.0005629062652587891
0.5,0.25,3,4,1.2,17,153,"[0, 1, -1]","[0, 1, 16]","[1, -1, 1, 0]","[5, -5, 3, 0]","[6, 11, 8]",False,0.0005943775177001953
0.5,0.25,3,4,1.2,17,154,"[1, -1, 0]","[1, 16, 0]","[1, 0, 0, 1]","[-3, -3, 8, 5]","[14, 7, 0]",False,0.0014309883117675781
