omega,tau,n,m,c_ratio,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,s_hat_babai,babai_secret_success,elapsed_sec
0.5,0.25,18,30,1.65,17,157,"[-1, 0, -1, 1, 1, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0]","[16, 0, 16, 1, 1, 16, 1, 1, 0, 0, 0, 1, 0, 0, 0, 16, 16, 0]","[0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0]","[-3, -6, -7, 8, 4, -1, -1, -3, 4, 9, 4, 0, 8, -7, -4, -1, -8, -2, 4, -8, -1, -7, 0, -6, 4, 5, -5, 4, -2, 2]","[1, 0, 9, 14, 2, 16, 4, 16, 5, 2, 14, 7, 15, 3, 13, 11, 16, 7]",False,5.607895135879517
0.5,0.25,18,30,1.65,17,158,"[0, 0, -1, 0, 0, 0, 0, -1, 1, -1, -1, 0, 1, -1, 1, 0, 1, 1]","[0, 0, 16, 0, 0, 0, 0, 16, 1, 16, 16, 0, 1, 16, 1, 0, 1, 1]","[0, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0, 1, 0, 1, -1, 0, 0, -1, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0]","[0, 5, -1, -3, 4, 2, 3, -5, -8, -5, 7, 1, 4, 3, 5, 7, 8, 1, -4, -1, 9, -7, -5, -8, -4, -5, -7, 1, -5, 1]","[4, 14, 1, 9, 6, 4, 1, 16, 7, 6, 9, 16, 6, 4, 16, 1, 6, 8]",False,5.378659963607788
0.5,0.25,18,30,1.65,17,159,"[0, 0, 1, 0, 1, -1, -1, 0, 1, -1, 0, -1, -1, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 16, 16, 0, 1, 16, 0, 16, 16, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0]","[-1, 10, 2, -1, 4, -1, 5, -5, 6, 10, 3, 9, -3, -7, -9, -8, 5, 1, 7, 4, -7, 0, 1, -8, 5, -5, -4, -8, -8, 1]","[14, 11, 6, 5, 12, 16, 10, 5, 10, 13, 6, 15, 12, 10, 14, 0, 10, 11]",False,13.680326223373413
0.5,0.25,18,30,1.65,17,160,"[1, 0, -1, -1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, -1, -1, 0, -1]","[1, 0, 16, 16, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 0, 16]","[0, 0, 0, -1, 0, 0, -1, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1]","[-5, -1, 5, -5, -5, 0, 3, -3, 4, -8, 4, -6, -6, 11, -2, -4, 1, 3, -5, -6, -2, 3, 0, 6, 5, -7, 3, -4, -4, 0]","[16, 11, 0, 13, 11, 7, 1, 12, 5, 12, 9, 14, 10, 4, 11, 1, 16, 4]",False,3.9086220264434814
0.5,0.25,18,30,1.65,17,161,"[0, 1, -1, 0, 0, 1, 0, 1, 0, -1, 0, 0, -1, 0, 1, 1, -1, -1]","[0, 1, 16, 0, 0, 1, 0, 1, 0, 16, 0, 0, 16, 0, 1, 1, 16, 16]","[0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, -1, -1, 0]","[-6, 6, -7, -5, 5, -2, 8, 7, -1, 10, -5, 0, 5, 5, -8, 2, 6, 2, 1, -3, 7, 5, 5, -1, -1, -7, 6, -4, -7, -2]","[2, 2, 15, 4, 16, 11, 5, 13, 8, 5, 11, 9, 1, 7, 5, 9, 13, 12]",False,8.063103914260864
0.5,0.25,18,30,1.65,17,162,"[0, 1, 1, 1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 0, 0, -1, -1, -1]","[0, 1, 1, 1, 0, 0, 1, 0, 1, 16, 0, 16, 0, 0, 0, 16, 16, 16]","[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0]","[-3, 6, 8, 8, -1, -5, -2, -5, 7, -5, -4, -4, 8, 2, 3, -2, 0, -3, -2, -8, -4, 6, -6, 3, 7, 1, 1, 7, 4, 4]","[0, 1, 1, 1, 0, 0, 1, 0, 1, 16, 0, 16, 0, 0, 0, 16, 16, 16]",True,6.558614730834961
0.5,0.25,18,30,1.65,17,163,"[-1, 0, 1, 0, -1, 1, 0, 0, 1, -1, 0, 0, 1, -1, 0, -1, 1, 0]","[16, 0, 1, 0, 16, 1, 0, 0, 1, 16, 0, 0, 1, 16, 0, 16, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, -1, 0, 0, 0, -1, 0, 1, 0, 0, -1, -1]","[12, 4, -3, 2, 7, -5, 0, -4, 7, 4, -3, 2, -4, 8, -5, 3, 5, -5, -8, 2, -9, 6, 2, -7, -2, 1, -1, 7, 5, -4]","[3, 14, 14, 3, 4, 8, 0, 10, 15, 7, 14, 13, 6, 16, 16, 1, 13, 2]",False,12.714213132858276
0.5,0.25,18,30,1.65,17,164,"[1, -1, 0, -1, 0, 0, 1, -1, 1, -1, 1, 0, 0, -1, 1, 0, 0, 0]","[1, 16, 0, 16, 0, 0, 1, 16, 1, 16, 1, 0, 0, 16, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, -1]","[5, -5, 3, -1, -6, -6, 4, -2, -8, -6, 3, 2, 6, -6, -2, -1, 1, 5, 9, -7, 7, -2, -6, 7, 2, 1, -5, -3, 4, 3]","[3, 11, 6, 9, 10, 2, 8, 11, 8, 9, 4, 11, 6, 4, 15, 6, 4, 5]",False,11.224839925765991
0.5,0.25,18,30,1.65,17,165,"[-1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, -1, -1, -1, 0, 1, -1, 0]","[16, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 16, 16, 16, 0, 1, 16, 0]","[0, 1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0]","[-6, -3, -1, -5, 10, 9, -9, 4, -3, 1, 0, 7, 0, -2, 1, -8, 7, -5, -6, -4, -9, 1, 8, -7, 1, 7, -4, -3, 3, -1]","[16, 7, 7, 11, 2, 5, 3, 10, 0, 6, 8, 3, 12, 6, 15, 4, 6, 7]",False,5.500409841537476
0.5,0.25,18,30,1.65,17,166,"[-1, 0, 0, -1, 1, 0, 0, -1, 1, 1, 0, -1, 0, 1, 1, -1, 0, 0]","[16, 0, 0, 16, 1, 0, 0, 16, 1, 1, 0, 16, 0, 1, 1, 16, 0, 0]","[-1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 1, 0, 0, -1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 8, -7, 5, 7, -6, -6, 1, 4, 8, -5, 3, -1, 1, 0, 2, 3, 0, 9, -6, -3, -4, -5, -3, -8, -4, -3, 0, 1, 0]","[16, 0, 0, 16, 1, 0, 0, 16, 1, 1, 0, 16, 0, 1, 1, 16, 0, 0]",True,17.739454984664917
