step,E_before,E_after,dot_theta_norm,theta,t_energy_before,t_build_A_C,t_update,t_energy_after,t_step_total
10,1.719999999999998,1.6675,1.4314338256086658,"[0.8108589107868965, 0.18464566204809607, 0.14431037423506826, 0.956494003844909, 0.7455912385458333, 0.17255419308646874, 0.2327855172655694, 0.22064399335006957, 0.14207719445559713, 0.9208262869387561, 0.6857404776374137, 0.16926398249380234, 0.1638935364635691, 0.8913079547181727, 0.17596861294479946, 0.6215524102026909]",0.0043518750462681055,0.4322083330480382,6.808293983340263e-05,0.003982666996307671,0.44061095803044736
11,1.7925000000000006,1.5150000000000006,1.9438927515661122,"[0.8079161809860923, 0.17092000003737662, 0.13293200736095528, 0.9596980085246755, 0.7394857702518299, 0.16286921106571, 0.2237202163260753, 0.2131906860860736, 0.14379079625269656, 0.9167553812892532, 0.6752185410364988, 0.175984402766632, 0.16929853200416675, 0.8911165240220562, 0.1615437317150902, 0.5993446984050489]",0.004003374953754246,0.424019500031136,6.25409884378314e-05,0.004031541990116239,0.4321169579634443
12,1.507500000000002,1.5625000000000029,2.078382088806773,"[0.811698253286812, 0.16012482309944215, 0.12367502626411073, 0.9571643049971197, 0.7317021723617154, 0.1650273766314075, 0.222398084253445, 0.21444854353842616, 0.12613266937210807, 0.9126665374577496, 0.659417995456095, 0.1630551436537801, 0.15664665142112646, 0.8825994761037248, 0.14647250636106207, 0.584138049561285]",0.003941082977689803,0.4273725829552859,6.345903966575861e-05,0.0040912500116974115,0.4354683749843389
13,1.4824999999999957,1.4075000000000033,1.6077007927818645,"[0.8141374709797867, 0.14347397063586284, 0.12674264492692938, 0.9588907498268929, 0.7228823898335783, 0.16446871312360964, 0.22698585836976476, 0.21631166354117137, 0.12415308665644555, 0.9033903414357931, 0.6496213399321227, 0.1543682195051879, 0.15152241141102005, 0.8720935976269989, 0.13995304119170285, 0.5701691126889749]",0.004140165983699262,0.42880145902745426,6.704102270305157e-05,0.003913166932761669,0.43692183296661824
14,1.6874999999999993,1.507499999999999,1.6794853278407411,"[0.8084285895645396, 0.1443544824923604, 0.1194709394364669, 0.9629486669666208, 0.7176468094195168, 0.15575614684364808, 0.22086590789635477, 0.21340339234342076, 0.10755180023380898, 0.8939503884474008, 0.6416756081366947, 0.1462689885144976, 0.15024658289793186, 0.8622537170658507, 0.14716927266808905, 0.5549259892138608]",0.003909665974788368,0.42834958399180323,6.49159774184227e-05,0.004170167027041316,0.43649433297105134
15,1.5250000000000044,1.8999999999999988,2.0857066072679276,"[0.8033432863654478, 0.1442039043744007, 0.11760148675901672, 0.9559993322206725, 0.7022731878391837, 0.1590450899428617, 0.21413588984774842, 0.1999388741237377, 0.0998052261895978, 0.8876926353616515, 0.6217668402109774, 0.13772300546394445, 0.14851308906880914, 0.8519931187156344, 0.14510253541827062, 0.5323976089226181]",0.003956749918870628,0.4199480829993263,6.200000643730164e-05,0.004313625046052039,0.42828045797068626
16,1.2725000000000009,1.4875000000000003,1.8564181489871199,"[0.8019417463592204, 0.12387594825419072, 0.10663590479616177, 0.9541263650490217, 0.6957461439581673, 0.15103100150089227, 0.211593473211528, 0.19784804857473692, 0.09859050425163286, 0.8836556742490863, 0.6087870201806452, 0.1281425796243425, 0.14408240621163304, 0.841808107445017, 0.14216503124689564, 0.5147374092492564]",0.0037577080074697733,0.4236505419248715,6.150000263005495e-05,0.003980666981078684,0.43145041691605
17,1.359999999999995,1.415000000000002,1.6682969821822555,"[0.7986127870693813, 0.11705397359372437, 0.10426024702580193, 0.9533676284648702, 0.6896314026848014, 0.1357583099037166, 0.2093486848181897, 0.18827930133055615, 0.09247198309050111, 0.8757147771195405, 0.5947781171338338, 0.12938499629996242, 0.1414019347063482, 0.835450191179419, 0.12890723292180817, 0.5020671422643965]",0.0038538749795407057,0.4211748749949038,6.47910637781024e-05,0.0038640840211883187,0.42895762505941093
18,1.3699999999999932,1.4050000000000065,1.6426828123471,"[0.7922502206659502, 0.10992236623368448, 0.10407305598733495, 0.9550732766167, 0.6853432549981319, 0.1256092671480315, 0.20923047818057292, 0.19107634752193775, 0.07830343855398914, 0.8664201305053695, 0.5843354688636937, 0.12645727711378849, 0.13514864876064508, 0.8257120962933303, 0.12758701769503067, 0.4843072982222394]",0.003741334076039493,0.4202972499188036,5.250005051493645e-05,0.003921333001926541,0.42801241704728454
19,1.3600000000000017,1.3499999999999983,1.696275169290647,"[0.7884603744377872, 0.11409956609581605, 0.09630605935259104, 0.952654215384517, 0.6767726760072136, 0.12244882628009161, 0.21187448061673184, 0.18853522996462307, 0.06055382020796295, 0.857497522390104, 0.5721702682705749, 0.11326193696718946, 0.13451013886452545, 0.8176678395899803, 0.12193174305155896, 0.4723830528081635]",0.003747332957573235,0.4320425000041723,8.270901162177324e-05,0.005662583047524095,0.44153512502089143
20,1.4074999999999982,1.200000000000003,1.128321968508969,"[0.7868939799828277, 0.10498702521457001, 0.10025593374587558, 0.9501540948829104, 0.6689099018986702, 0.11648891205624673, 0.20934678283116684, 0.1883134327269616, 0.06161688362420541, 0.8549772491890428, 0.5638044130034705, 0.10925179644712253, 0.1368556455491938, 0.8130853631499907, 0.12102236481054195, 0.4590699113508454]",0.007666625082492828,0.6261759999906644,0.00020524999126791954,0.004477583919651806,0.638525458984077
21,1.3549999999999955,1.3800000000000028,1.3086472491999215,"[0.7879019607452559, 0.09837364993808015, 0.10871862494567115, 0.9482279782437937, 0.6594572740140119, 0.11303638894433532, 0.20453597594483877, 0.1814569920235533, 0.05651472583220847, 0.8468596617908813, 0.554509211916966, 0.10369498325267801, 0.13000359297885386, 0.8044493069438297, 0.11506585379574708, 0.4538451432383892]",0.0041614159708842635,0.909518833970651,8.825003169476986e-05,0.004307124996557832,0.9180756249697879
22,1.330000000000001,1.2424999999999997,1.5933668297061474,"[0.7850775953021374, 0.09582023368183412, 0.09844451675912613, 0.9477548826827344, 0.6481567720150241, 0.11224427105299813, 0.20366879025798526, 0.1756308950598017, 0.05389504748382764, 0.844781211807539, 0.5484230979809582, 0.11229244383736067, 0.11313138378722926, 0.7972404233360351, 0.11866175922644445, 0.43770466389828366]",0.0041325000347569585,0.6838264169637114,9.079102892428637e-05,0.004660833976231515,0.6927105420036241
23,1.2875000000000019,1.257499999999999,1.144260400374083,"[0.7848962571223724, 0.08485894967226974, 0.09825653870716343, 0.9432512990625711, 0.6425018674264459, 0.10944015909882157, 0.19807426742363443, 0.17271419139115857, 0.050081949980247155, 0.842611086982927, 0.5380406229493229, 0.10611861583075026, 0.10785333701886343, 0.7899671969801823, 0.11819350085365886, 0.4301252365895934]",0.009606749983504415,0.7096027500228956,7.445807568728924e-05,0.004333457909524441,0.7236174159916118
24,1.2924999999999975,1.3825000000000012,1.1897886905114279,"[0.7835482980493975, 0.07893246752173527, 0.09273202675147214, 0.9391110924780692, 0.638028076423303, 0.10604593148072683, 0.19134095986798907, 0.1684947435713462, 0.047736602601687016, 0.8368060301572534, 0.5289450651861035, 0.10139933728396426, 0.09414403984689587, 0.786584923694984, 0.11703274897311239, 0.4236423113384098]",0.006271124933846295,0.8556341669755057,7.925007957965136e-05,0.004352707997895777,0.8663372499868274
25,1.3349999999999975,1.2200000000000044,1.835282955098727,"[0.782978642958879, 0.07057125642791551, 0.07893690639804332, 0.9380170197862066, 0.6331101812528375, 0.10189543113861274, 0.18113089638028512, 0.1548404430984609, 0.039246054203242835, 0.8247023660648275, 0.5194167411729307, 0.09487935213415091, 0.08642227888006378, 0.7786516182339268, 0.11747661765006485, 0.4069442923242972]",0.006688417051918805,0.8654034999199212,8.5500068962574e-05,0.012636665953323245,0.8848140829941258
26,1.3749999999999902,1.1150000000000022,1.632469347997643,"[0.7803148201216702, 0.06863922482381421, 0.06758466189082077, 0.9330118802614588, 0.6246777426697739, 0.09137273847376075, 0.1763844357039594, 0.1516719887903312, 0.03927525510275436, 0.8155600274429232, 0.5125815793836317, 0.08526708495773863, 0.07274545645171174, 0.7688135448452144, 0.1150941770217031, 0.39373027278533534]",0.012001499999314547,0.6377855408936739,0.0003238340141251683,0.004332958022132516,0.6544438329292461
27,1.3550000000000038,1.1925000000000023,1.5484557613617393,"[0.7781297042357059, 0.06239231931676891, 0.05903078602418056, 0.9307410203961862, 0.6179778561372299, 0.0842761490736262, 0.17194696449756272, 0.15075717023389384, 0.03480117459878316, 0.8073350249255674, 0.5033300760302762, 0.06920634963456249, 0.07448468234494585, 0.7618820297060211, 0.10867426062490845, 0.3796699703235087]",0.004727833904325962,0.621972875087522,8.774991147220135e-05,0.005999958026222885,0.632788416929543
28,1.1400000000000012,1.247500000000001,1.3607186020492963,"[0.778497377510998, 0.051745969367369596, 0.058756356206311984, 0.9277569559881024, 0.6137990476600358, 0.07554766941847868, 0.17469704747810053, 0.14811501696458007, 0.027624442168082606, 0.8014254816059775, 0.491090227476833, 0.06131341768251911, 0.061934695885343526, 0.7560781863109212, 0.10880977469677888, 0.3751728785393739]",0.004376374999992549,0.5955647500231862,0.00010766694322228432,0.006441000034101307,0.6064897920005023
29,1.2849999999999928,1.2074999999999974,1.2391387756198824,"[0.7793266745531329, 0.0574748008057536, 0.06682894006376792, 0.9239894303797697, 0.6077631127472085, 0.06921413069888217, 0.17341454004739537, 0.14801719539539934, 0.023873087696465522, 0.7927204614554889, 0.48225977022976146, 0.055583605811368175, 0.05889816540822088, 0.7502456025726654, 0.09815835496168311, 0.3670631810156165]",0.004910708055831492,0.6259712090250105,8.641602471470833e-05,0.009070333908312023,0.6400386670138687
